"month_start","tagname","group_name","questions","answers","total_q_a"
2019-08-01,c#,alto_recurso,7672,8845,16517
2019-08-01,java,alto_recurso,9042,10850,19892
2019-08-01,javascript,alto_recurso,15154,20819,35973
2019-08-01,python,alto_recurso,17953,23210,41163
2019-08-01,bash,baixo_moderado,952,1398,2350
2019-08-01,dart,baixo_moderado,1016,1361,2377
2019-08-01,julia,baixo_moderado,105,109,214
2019-08-01,r,baixo_moderado,3942,4616,8558
2019-09-01,c#,alto_recurso,7814,8968,16782
2019-09-01,java,alto_recurso,9615,11813,21428
2019-09-01,javascript,alto_recurso,14808,20069,34877
2019-09-01,python,alto_recurso,16819,21856,38675
2019-09-01,bash,baixo_moderado,912,1205,2117
2019-09-01,dart,baixo_moderado,962,1234,2196
2019-09-01,julia,baixo_moderado,160,207,367
2019-09-01,r,baixo_moderado,3931,4661,8592
2019-10-01,c#,alto_recurso,8375,9724,18099
2019-10-01,java,alto_recurso,11151,13796,24947
2019-10-01,javascript,alto_recurso,15917,21354,37271
2019-10-01,python,alto_recurso,20371,25742,46113
2019-10-01,bash,baixo_moderado,1139,1535,2674
2019-10-01,dart,baixo_moderado,942,1298,2240
2019-10-01,julia,baixo_moderado,153,202,355
2019-10-01,r,baixo_moderado,4374,5040,9414
2019-11-01,c#,alto_recurso,7993,9480,17473
2019-11-01,java,alto_recurso,10271,12400,22671
2019-11-01,javascript,alto_recurso,15671,21021,36692
2019-11-01,python,alto_recurso,20517,25955,46472
2019-11-01,bash,baixo_moderado,1003,1402,2405
2019-11-01,dart,baixo_moderado,955,1346,2301
2019-11-01,julia,baixo_moderado,93,108,201
2019-11-01,r,baixo_moderado,4278,5114,9392
2019-12-01,c#,alto_recurso,7177,8892,16069
2019-12-01,java,alto_recurso,8968,10762,19730
2019-12-01,javascript,alto_recurso,14243,19268,33511
2019-12-01,python,alto_recurso,18017,22891,40908
2019-12-01,bash,baixo_moderado,871,1227,2098
